PC1,PC2,Filename,Full title,Display title,Author,Genre,Publication date,,,,,,,,,,,,,,,,,,
0.029137828,-0.005990634,1654.charleton.fabrick-science.eebo.txt,PHYSIOLOGIA Epicuro-Gassendo-Charltoniana: OR A FABRICK OF SCIENCE NATURAL upon the hypothesis of atoms founded by Epicurus repaired [by] Petrus Gassendus ; augmented [by] Walter Charleton ...,Physiologia,"Charleton, Walter",Royal Society text,1654,,,,,,,,,,,,,,,,,,
-0.004708779,-0.002524973,1654.ward.vindiciae-academiarum.eebo.txt,"Vindici� academiarum containing, some briefe animadversions upon Mr Websters book, stiled, The examination of academies. Together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",Vindiciae Academiarum,"Ward, Seth",Royal Society text,1654,,,,,,,,,,,,,,,,,,
-0.028250366,-0.010419845,1656.evelyn.essay-lucretius.eebo.txt,An essay on the first book of T. Lucretius Carus De rerum natura. Interpreted and made English verse by J. Evelyn Esq;,An Essay on The First Book of T. Lucretius,"Evelyn, John",Royal Society text,1656,,,,,,,,,,,,,,,,,,
-0.013073501,-0.011714251,1656.wallis.due-correction.eebo.txt,"Due correction for Mr Hobbes� Or Schoole discipline, for not saying his lessons right. In answer to his Six lessons, directed to the professors of mathematicks. / By the professor of geometry.",Due Correction for Mr. Hobbes,"Wallis, John",Royal Society text,1656,,,,,,,,,,,,,,,,,,
0.00308373,0.004130051,1657.charleton.immortality-soul.eebo.txt,"The immortality of the human soul, demonstrated by the light of nature in two dialogues.",The Immortality of the Human Soul,"Charleton, Walter",Royal Society text,1657,,,,,,,,,,,,,,,,,,
-0.013194694,0.031052761,1658.ashmole.way-bliss.eebo.txt,"The way to bliss. In three books. Made publick, by Elias Ashmole Esq.",The Way to Bliss,"Ashmole, Elias",Royal Society text,1658,,,,,,,,,,,,,,,,,,
0.020397168,-0.003968568,1658.digby.late-discourse.eebo.txt,"A late discourse made in a solemne assembly of nobles and learned men at Montpellier in France touching the cure of wounds by the powder of sympathy : with instructions how to make the said powder : whereby many other secrets of nature are unfolded / by Sr. Kenelme Digby, knight ; rendred faithfully out of French into English by R. White.",A Late Discourse Touching the Cure of Wounds,"Digby, Kenelm",Royal Society text,1658,,,,,,,,,,,,,,,,,,
-0.012065278,-0.02841531,1658.wallis.reasons-shewing.eebo.txt,Reasons shewing the consistency of the place of Custos Archivorum with that of a Savilian Professor,Reasons Showing the Consistency of the Custos Archivorum,"Wallis, John",Royal Society text,1658,,,,,,,,,,,,,,,,,,
0.056719367,-0.000535427,1659.charleton.history-nutrition.eebo.txt,"Natural history of nutrition, life, and voluntary motion containing all the new discoveries of anatomist's and most probable opinions of physicians, concerning the oeconomie of human nature : methodically delivered in exercitations physico-anatomical",Natural History of Nutrition,"Charleton, Walter",Royal Society text,1659,,,,,,,,,,,,,,,,,,
-0.002871494,0.010909029,1659.evelyn.character-england.eebo.txt,A character of England as it was lately presented in a letter to a noble man of France.,A Character of England,"Evelyn, John",Royal Society text,1659,,,,,,,,,,,,,,,,,,
